prefill_qo_len,prefill_kv_len,decode_qo_len,decode_kv_len,count,mean,std,variance,min,max,cv
0,0,9,18432,3,0.11137066666666667,0.020854705496202372,0.0004349187413333335,0.087648,0.126816,18.72549217999672
2048,2048,0,0,4,0.21599200000000002,0.02061540860618582,0.00042499507200000026,0.18928,0.232288,9.544524147487541
2048,6488,14,14336,2,0.40225599999999995,0.020387302715170596,0.0004156421120000023,0.3878399999999999,0.416672,5.068240799416878
122880,12615,5,20480,2,0.272848,0.020206283379186795,0.0004082938880000005,0.25856,0.287136,7.405692316520958
2048,2048,12,24576,2,0.26896,0.01973110762222939,0.0003893166079999988,0.255008,0.282912,7.336075109642072
122880,36945,2,32768,2,0.6850240000000001,0.019323814116265946,0.000373409791999999,0.6713600000000001,0.698688,2.820895926777025
122880,16890,18,18432,2,0.146752,0.01909753994628629,0.0003647160320000005,0.133248,0.160256,13.013478476118085
512,512,5,20480,4,0.394088,0.019044712021976034,0.0003627010559999985,0.376096,0.4122559999999999,4.832603889776758
256,256,12,6144,2,0.067328,0.019007030278294403,0.00036126720000000014,0.053888,0.080768,28.230498826734653
8192,8192,3,24576,2,0.5243519999999999,0.018554481938334998,0.0003442687999999996,0.511232,0.537472,3.5385546226192415
1024,1024,11,22528,4,0.25740799999999997,0.018487213599314174,0.00034177706666666696,0.240416,0.277472,7.182066443984689
32768,9552,0,0,2,0.11246400000000001,0.01816981584936953,0.0003301422080000001,0.099616,0.125312,16.156117364857565
6144,6144,6,6144,2,0.21176,0.016721661161499476,0.00027961395200000005,0.199936,0.223584,7.896515467322894
512,512,3,49152,2,0.859472,0.01667640632750357,0.00027810252800000116,0.84768,0.871264,1.940308273633494
512,512,23,23552,3,0.137728,0.016482236741413463,0.00027166412799999983,0.12368,0.155872,11.967237402304706
122880,122880,2,16384,2,0.589728,0.01642750474052593,0.000269862912000002,0.578112,0.601344,2.785607048968393
24576,24576,14,28672,2,0.355264,0.01620123057054615,0.0002624798719999991,0.343808,0.36672,4.560335571852429
114688,114688,8,32768,2,0.46231999999999995,0.0160428386515604,0.0002573726720000003,0.450976,0.473664,3.4700723845151256
28672,19257,60,15360,2,0.249216,0.01570342739659085,0.0002465976320000001,0.238112,0.26032,6.30113130388487
2048,2048,1,8192,2,0.28636799999999996,0.015658172562594927,0.00024517836800000057,0.275296,0.29744,5.467849954299042
1024,767,10,20480,5,0.1900928,0.015180679932071596,0.00023045304320000129,0.1646399999999999,0.200544,7.985931042146606
256,256,12,24576,2,0.16086399999999995,0.015024604886651832,0.00022573875200000213,0.1502399999999999,0.171488,9.339942359578211
1024,1024,3,6144,2,0.162368,0.01488884038466393,0.00022167756799999953,0.15184,0.172896,9.169812016834669
1024,2517,3,12288,2,0.28227199999999997,0.014798330716672088,0.00021899059200000063,0.271808,0.292736,5.242578332753341
256,256,11,22528,2,0.21654400000000001,0.014662566214684262,0.00021499084800000038,0.206176,0.226912,6.771171774749283
256,256,8,16384,2,0.17507199999999995,0.014572056546692304,0.00021234483199999803,0.164768,0.1853759999999999,8.323464939207208
8192,8192,5,20480,2,0.43420800000000004,0.014481546878700511,0.00020971520000000052,0.423968,0.444448,3.3351635334598497
28672,6475,17,17408,2,0.13603199999999993,0.01421001787472491,0.00020192460800000145,0.1259839999999999,0.14608,10.446084644994437
6144,6144,5,20480,3,0.4981333333333334,0.013808003089995803,0.00019066094933333367,0.483424,0.510816,2.771949227895581
2048,2048,6,6144,2,0.133024,0.013078647024826391,0.00017105100800000024,0.123776,0.142272,9.831795025705583
131072,131072,0,0,9,0.3342613333333333,0.012950860975240223,0.00016772480000000017,0.305184,0.350496,3.87447176202425
24576,24576,4,16384,2,0.31920000000000004,0.01289762768884263,0.0001663488000000001,0.31008,0.32832,4.040610176942988
512,6544,8,8192,2,0.571616,0.012671353518862886,0.00016056319999999886,0.562656,0.580576,2.2167597682090996
0,0,2,8192,2,0.324576,0.01253558901687511,0.0001571409919999999,0.315712,0.33344,3.862142922770928
256,256,5,20480,2,0.402768,0.011969903591925856,0.0001432785919999995,0.394304,0.411232,2.971910278113938
1024,1024,24,24576,4,0.14784,0.011951760818668802,0.00014284458666666676,0.136416,0.158368,8.084253795038249
114688,26264,12,24576,2,0.198,0.011788884255942106,0.00013897779199999964,0.189664,0.206336,5.953981944438446
1024,1024,1,16384,4,0.2014,0.01173143378563194,0.00013762653866666654,0.190688,0.211552,5.824942293846572
114688,15680,30,15360,2,0.133376,0.0115852375029604,0.00013421772800000016,0.125184,0.141568,8.686148553168675
256,256,46,23552,2,0.07368,0.011517355251966484,0.00013264947199999994,0.065536,0.081824,15.631589625861695
0,0,5,20480,4,0.164944,0.011491089649521195,0.00013204514133333315,0.153792,0.175424,6.966661195650968
