decode_kv_len,decode_qo_len,prefill_kv_len,prefill_qo_len,decode_time_ms,prefill_time_ms,sm_time
24576,12,4096,4096,0.13744,0.232704,0.37014400000000003
22528,11,6144,6144,0.093824,0.330592,0.424416
24576,12,6144,6144,0.14448,0.200672,0.345152
26624,13,6144,6144,0.102912,0.205696,0.308608
20480,10,8192,8192,0.138688,0.140384,0.279072
22528,11,8192,8192,0.135872,0.178176,0.314048
24576,12,8192,8192,0.136416,0.088224,0.22464
22528,11,6144,6144,0.0912,0.333152,0.424352
24576,12,6144,6144,0.141376,0.106784,0.24816
20480,10,8192,8192,0.13328,0.15648,0.28976
16384,8,4096,4096,0.122848,0.169824,0.292672
14336,7,6144,6144,0.109984,0.153664,0.263648
16384,8,6144,6144,0.12416,0.128608,0.252768
12288,6,8192,8192,0.103712,0.165344,0.26905599999999996
14336,7,8192,8192,0.109216,0.146912,0.25612799999999997
16384,8,8192,8192,0.118688,0.110368,0.22905599999999998
14336,7,6144,6144,0.112544,0.163488,0.276032
16384,8,6144,6144,0.123456,0.127584,0.25104
12288,6,8192,8192,0.107872,0.129056,0.236928
14336,7,8192,8192,0.110496,0.148992,0.259488
24576,6,4096,4096,0.264544,0.219872,0.484416
20480,5,6144,6144,0.283712,0.216448,0.50016
24576,6,6144,6144,0.287136,0.18176,0.468896
20480,5,8192,8192,0.209728,0.23472,0.444448
24576,6,8192,8192,0.2512,0.199936,0.451136
20480,5,6144,6144,0.288864,0.19456,0.483424
24576,6,6144,6144,0.272992,0.111936,0.384928
20480,5,8192,8192,0.282208,0.14176,0.423968
24576,6,8192,8192,0.276064,0.101824,0.377888
20480,5,6144,6144,0.282816,0.228,0.510816
8192,2,4096,4096,0.184832,0.175904,0.360736
4096,1,6144,6144,0.111968,0.164448,0.276416
8192,2,6144,6144,0.180096,0.167136,0.347232
4096,1,8192,8192,0.060832,0.206368,0.2672
8192,2,8192,8192,0.183168,0.141888,0.325056
4096,1,6144,6144,0.111872,0.1688,0.28067200000000003
8192,2,6144,6144,0.185696,0.114496,0.300192
4096,1,8192,8192,0.112288,0.10384,0.216128
8192,2,8192,8192,0.17712,0.107712,0.284832
4096,1,6144,6144,0.111808,0.168064,0.279872
32768,4,4096,4096,0.448736,0.177344,0.62608
24576,3,6144,6144,0.340768,0.253344,0.594112
